State,literacyRate,Literacy Rates,Per Capita State Spending
Alabama,0.852,85.2,$6296
Alaska,0.908,90.8,$16288
Arizona,0.869,86.9,$5682
Arkansas,0.863,86.3,$9221
California,0.769,76.9,$9040
Colorado,0.901,90.1,$6162
Connecticut,0.914,91.4,$9452
Delaware,0.893,89.3,$11985
Florida,0.803,80.3,$3987
Georgia,0.833,83.3,$5666
Hawaii,0.841,84.1,$12490
Idaho,0.895,89.5,$6336
Illinois,0.871,87.1,$6086
Indiana,0.92,92,$5549
Iowa,0.925,92.5,$8168
Kansas,0.922,92.2,$6612
Kentucky,0.878,87.8,$8533
Louisiana,0.84,84,$6682
Maine,0.926,92.6,$7741
Maryland,0.888,88.8,$7870
Massachusetts,0.901,90.1,$8984
Michigan,0.917,91.7,$6190
Minnesota,0.94,94,$7533
Mississippi,0.84,84,$6737
Missouri,0.925,92.5,$4437
Montana,0.912,91.2,$7643
Nebraska,0.927,92.7,$6577
Nevada,0.839,83.9,$4841
New Hampshire,0.942,94.2,$5022
New Jersey,0.831,83.1,$7194
New Mexico,0.835,83.5,$10553
New York,0.779,77.9,$8583
North Carolina,0.864,86.4,$5896
North Dakota,0.937,93.7,$9061
Ohio,0.909,90.9,$6323
Oklahoma,0.877,87.7,$6259
Oregon,0.898,89.8,$11507
Pennsylvania,0.874,87.4,$7392
Rhode Island,0.915,91.5,$10415
South Carolina,0.853,85.3,$5252
South Dakota,0.93,93,$5468
Tennessee,0.868,86.8,$5209
Texas,0.81,81,$4668
Utah,0.906,90.6,$5532
Vermont,0.934,93.4,$9611
Virginia,0.88,88,$7464
Washington,0.902,90.2,$7035
West Virginia,0.866,86.6,$10334
Wisconsin,0.927,92.7,$8797
Wyoming,0.911,91.1,$8156
