Country Name,GDP Per Capita (USD),"Mortality rate, under-5 (per 1,000 live births)","Incidence of tuberculosis (per 100,000 people)"
Aruba,23384.29879,,1.1
Africa Eastern and Southern,1360.878645,58.15864958,
Afghanistan,516.7478708,58,193
Africa Western and Central,1709.764129,93.62702321,
Angola,1631.431691,71.5,350
Albania,5332.160475,9.8,15
Andorra,37416.69772,2.5,3
Arab World,5724.28687,34.08639899,
United Arab Emirates,36284.55524,6.6,0.79
Argentina,8585.694742,8.6,31
Armenia,4266.018074,10.9,23
American Samoa,12844.90099,,0.22
Antigua and Barbuda,13992.74448,6.4,2.3
Australia,51680.31652,3.7,7.3
Austria,48588.65938,3.6,4.9
Azerbaijan,4229.910649,19.4,58
Burundi,233.8375103,54.4,103
Belgium,45189.3669,4.2,7.7
Benin,1291.040972,85.9,55
Burkina Faso,857.9327297,85,46
Bangladesh,2270.347535,29.1,218
Bulgaria,10079.20338,6.1,19
Bahrain,20406.50233,6.8,13
"Bahamas, The",24665.09683,12.3,9.1
Bosnia and Herzegovina,6082.36673,5.7,26
Belarus,6555.426818,2.9,26
Belize,3987.796596,11.7,23
Bolivia,3137.989617,25.4,105
Brazil,6814.875632,14.7,45
Barbados,16318.74811,12.2,2.4
Brunei Darussalam,27442.95383,11.5,83
Bhutan,3000.777986,27.6,165
Botswana,6348.832318,44.8,236
Central African Republic,481.7462966,103,540
Canada,43258.26387,5,5.9
Central Europe and the Baltics,16197.29935,4.745719218,
Switzerland,87100.41482,4,4.7
Channel Islands,,,
Chile,13220.57076,6.8,15
China,10408.66976,7.3,59
Cote d'Ivoire,2325.723705,77.9,135
Cameroon,1537.130218,72.2,174
"Congo, Dem. Rep.",543.9503925,81.2,319
"Congo, Rep.",1899.778237,44.6,379
Colombia,5312.198556,13.2,37
Comoros,1407.40927,61.3,35
Cabo Verde,3064.272388,14.2,39
Costa Rica,12201.92603,7.9,10
Caribbean small states,8857.870922,16.24057618,
Cuba,9477.852873,5.1,6.3
Curacao,16109.86167,,8
Cayman Islands,85346.76195,,3.5
Cyprus,27681.56641,2.8,5.7
Czechia,22933.49959,2.9,3.9
Germany,46252.6893,3.7,5.5
Djibouti,3219.701128,55.9,224
Dominica,7003.859021,35.4,47
Denmark,61063.31643,3.6,4.9
Dominican Republic,7268.19691,33.8,41
Algeria,3306.858208,22.7,59
East Asia & Pacific (excluding high income),8270.455138,14.43746061,139
Early-demographic dividend,3253.713456,32.71967376,
East Asia & Pacific,11483.59931,13.8,128
Europe & Central Asia (excluding high income),7435.160748,10.83422361,47
Europe & Central Asia,23981.02201,7.6,25
Ecuador,5627.77228,13,48
"Egypt, Arab Rep.",3569.206841,19.5,11
Euro area,38012.66729,3.715279394,
Eritrea,,39.3,81
Spain,27056.42175,3.2,7.3
Estonia,23054.35849,2.1,10
Ethiopia,936.4507576,48.7,132
European Union,34191.82825,3.909294832,
Fragile and conflict affected situations,1743.367113,75.56810832,
Finland,49160.83715,2.3,3.6
Fiji,5102.843929,27.4,66
France,39037.12263,4.4,8.2
Faroe Islands,66320.6792,,
"Micronesia, Fed. Sts.",3542.969788,24.7,75
Gabon,6881.714225,41.7,527
United Kingdom,41098.07865,4.2,6.9
Georgia,4255.742993,9.3,70
Ghana,2254.153889,44.7,143
Gibraltar,,,
Guinea,1078.950006,95.6,179
"Gambia, The",757.4131116,49.4,157
Guinea-Bissau,727.5201717,76.8,361
Equatorial Guinea,7198.335884,78.5,280
Greece,17647.23269,4.1,4.5
Grenada,9273.199292,16.4,2.8
Greenland,54570.37502,,150
Guatemala,4603.339643,23.6,27
Guam,34624.34013,,39
Guyana,6955.939217,28.4,79
High income,43282.42346,4.9,8.8
"Hong Kong SAR, China",46100.97587,,56
Honduras,2405.732848,16.2,30
Heavily indebted poor countries (HIPC),975.4742618,64.12628556,
Croatia,14132.48656,4.6,6.6
Haiti,1272.367992,60.5,168
Hungary,16075.97327,4,4.6
IBRD only,6176.40377,21.08493962,
IDA & IBRD total,4925.381242,39.67228486,
IDA total,1365.047843,66.69065331,
IDA blend,1740.603808,81.69177271,
Indonesia,3870.55762,23,301
IDA only,1175.586605,58.93446831,
Isle of Man,,,
India,1933.101069,32.6,188
Not classified,,,
Ireland,85422.54287,3,5.3
"Iran, Islamic Rep.",2756.749977,12.9,13
Iraq,4583.747494,25.2,27
Iceland,59264.03409,1.9,2.8
Israel,44177.57122,3.6,2.1
Italy,31834.97262,2.9,6.6
Jamaica,4664.530242,13.3,2.4
Jordan,4282.765825,15,4.7
Japan,39918.16756,2.5,12
Kazakhstan,9121.637138,10,69
Kenya,1872.124026,41.9,259
Kyrgyz Republic,1182.5217,17.5,105
Cambodia,1547.511388,25.7,274
Kiribati,1514.591059,49.6,425
St. Kitts and Nevis,18440.85368,15,4.3
"Korea, Rep.",31597.50465,3,49
Kuwait,24811.76971,8.9,19
Latin America & Caribbean (excluding high income),6765.532776,16.03961616,44
Lao PDR,2608.982833,44.1,149
Lebanon,3801.792743,7,13
Liberia,601.0630058,78.3,314
Libya,7614.325449,11.1,59
St. Lucia,8804.561089,24.4,2.2
Latin America & Caribbean,7270.703584,16.2,43
Least developed countries: UN classification,1099.201561,60.65462429,
Low income,703.7338455,66,187
Liechtenstein,,,
Sri Lanka,3694.040948,6.9,64
Lower middle income,2285.711107,44.9,204
Low & middle income,4759.776082,39.86230031,149
Lesotho,1050.631634,89.5,650
Late-demographic dividend,9699.089375,9.506154443,
Lithuania,20232.30204,3.3,29
Latvia,17703.95344,4,23
"Macao SAR, China",39403.13591,,64
St. Martin (French part),,,
Morocco,3058.69165,18.7,98
Moldova,4525.759654,14.5,74
Madagascar,477.6130414,50.2,238
Maldives,6924.105745,6.5,37
Middle East & North Africa,6688.08728,21.3,28
Mexico,8431.665017,13.7,24
