,country.value,date,value,country.value_right,date_right,value_right
0,United Kingdom,2021,,United Kingdom,2021,
1,United Kingdom,2020,80.9024390243903,United Kingdom,2020,
2,United Kingdom,2019,81.2048780487805,United Kingdom,2019,10.15402699
3,United Kingdom,2018,81.2560975609756,United Kingdom,2018,9.90384102
4,United Kingdom,2017,81.2560975609756,United Kingdom,2017,9.80787468
5,United Kingdom,2016,81.1560975609756,United Kingdom,2016,9.87313271
6,United Kingdom,2015,80.9560975609756,United Kingdom,2015,9.90072441
7,United Kingdom,2014,81.3048780487805,United Kingdom,2014,9.95041275
8,United Kingdom,2013,81.0048780487805,United Kingdom,2013,9.97566223
9,United Kingdom,2012,80.9048780487805,United Kingdom,2012,9.91419888
10,United Kingdom,2011,80.9512195121951,United Kingdom,2011,9.84848499
11,United Kingdom,2010,80.4024390243902,United Kingdom,2010,9.83532333
12,United Kingdom,2009,80.0512195121951,United Kingdom,2009,9.8809166
13,United Kingdom,2008,79.6,United Kingdom,2008,9.06439972
14,United Kingdom,2007,79.4487804878049,United Kingdom,2007,8.7854166
15,United Kingdom,2006,79.2487804878049,United Kingdom,2006,8.60818768
16,United Kingdom,2005,79.0487804878049,United Kingdom,2005,8.44144344
17,United Kingdom,2004,78.7463414634146,United Kingdom,2004,8.39001179
18,United Kingdom,2003,78.4463414634146,United Kingdom,2003,8.11239147
19,United Kingdom,2002,78.1439024390244,United Kingdom,2002,7.94137812
20,United Kingdom,2001,77.9926829268293,United Kingdom,2001,7.56716347
21,United Kingdom,2000,77.7414634146342,United Kingdom,2000,7.19528341
22,United Kingdom,1999,77.390243902439,United Kingdom,1999,
23,United Kingdom,1998,77.190243902439,United Kingdom,1998,
24,United Kingdom,1997,77.2109756097561,United Kingdom,1997,
25,United Kingdom,1996,77.0878048780488,United Kingdom,1996,
26,United Kingdom,1995,76.8365853658537,United Kingdom,1995,
27,United Kingdom,1994,76.8853658536585,United Kingdom,1994,
28,United Kingdom,1993,76.3853658536585,United Kingdom,1993,
29,United Kingdom,1992,76.4341463414634,United Kingdom,1992,
30,United Kingdom,1991,76.0829268292683,United Kingdom,1991,
