Country,Series,Year,GDP per Capita
Australia,GDP per capita (current US$),1980,10208.5761716721
Australia,GDP per capita (current US$),1981,11853.4360174361
Australia,GDP per capita (current US$),1982,12778.855250056
Australia,GDP per capita (current US$),1983,11515.7384250381
Australia,GDP per capita (current US$),1984,12421.4925977337
Australia,GDP per capita (current US$),1985,11440.9685687363
Australia,GDP per capita (current US$),1986,11391.4367051223
Australia,GDP per capita (current US$),1987,11650.8418747976
Australia,GDP per capita (current US$),1988,14284.5158135864
Australia,GDP per capita (current US$),1989,17834.5688669242
Australia,GDP per capita (current US$),1990,18249.7094846628
Australia,GDP per capita (current US$),1991,18860.5815907438
Australia,GDP per capita (current US$),1992,18624.5550841793
Australia,GDP per capita (current US$),1993,17700.1155557894
Australia,GDP per capita (current US$),1994,18129.7907198601
Australia,GDP per capita (current US$),1995,20446.7198474713
Australia,GDP per capita (current US$),1996,22020.093721362
Australia,GDP per capita (current US$),1997,23645.0883283773
Australia,GDP per capita (current US$),1998,21478.3851573346
Australia,GDP per capita (current US$),1999,20698.7127028167
Australia,GDP per capita (current US$),2000,21853.781667691
Australia,GDP per capita (current US$),2001,19681.6626363573
Australia,GDP per capita (current US$),2002,20291.1785479686
Australia,GDP per capita (current US$),2003,23705.9072163917
Australia,GDP per capita (current US$),2004,30819.9934867745
Australia,GDP per capita (current US$),2005,34461.7087799639
Australia,GDP per capita (current US$),2006,36570.7203684146
Australia,GDP per capita (current US$),2007,41023.7548562293
Australia,GDP per capita (current US$),2008,49679.1805279842
Australia,GDP per capita (current US$),2009,42810.331655139
Australia,GDP per capita (current US$),2010,52134.3088504199
Australia,GDP per capita (current US$),2011,62596.4321748915
Australia,GDP per capita (current US$),2012,68044.714816234
Australia,GDP per capita (current US$),2013,68158.5797427053
Australia,GDP per capita (current US$),2014,62513.4112171122
Australia,GDP per capita (current US$),2015,56710.4457244504
Australia,GDP per capita (current US$),2016,49875.5651433836
Australia,GDP per capita (current US$),2017,53936.1402549903
Australia,GDP per capita (current US$),2018,57207.8715094806
Australia,GDP per capita (current US$),2019,54941.4341793948
Australia,GDP per capita (current US$),2020,51720.3707634401
Australia,GDP per capita (current US$),2021,60443.1091649968
Canada,GDP per capita (current US$),1980,11170.5639723393
Canada,GDP per capita (current US$),1981,12337.4662493804
Canada,GDP per capita (current US$),1982,12481.8747874298
Canada,GDP per capita (current US$),1983,13425.1224888294
Canada,GDP per capita (current US$),1984,13877.9170763469
Canada,GDP per capita (current US$),1985,14114.8077599664
Canada,GDP per capita (current US$),1986,14461.0692388787
Canada,GDP per capita (current US$),1987,16308.9669663579
Canada,GDP per capita (current US$),1988,18936.9641024997
Canada,GDP per capita (current US$),1989,20715.631483174
Canada,GDP per capita (current US$),1990,21448.3619600057
Canada,GDP per capita (current US$),1991,21768.3432941828
Canada,GDP per capita (current US$),1992,20879.8483300891
Canada,GDP per capita (current US$),1993,20121.1612532855
Canada,GDP per capita (current US$),1994,19935.3814579208
Canada,GDP per capita (current US$),1995,20613.7878829216
Canada,GDP per capita (current US$),1996,21227.3475315896
Canada,GDP per capita (current US$),1997,21901.5628548392
Canada,GDP per capita (current US$),1998,21024.5850687045
Canada,GDP per capita (current US$),1999,22315.2466731545
Canada,GDP per capita (current US$),2000,24271.0020563821
Canada,GDP per capita (current US$),2001,23822.0601178964
Canada,GDP per capita (current US$),2002,24255.3385818322
Canada,GDP per capita (current US$),2003,28300.4630963791
Canada,GDP per capita (current US$),2004,32143.6814078562
Canada,GDP per capita (current US$),2005,36382.5079164537
Canada,GDP per capita (current US$),2006,40504.0607253203
Canada,GDP per capita (current US$),2007,44659.8951408034
Canada,GDP per capita (current US$),2008,46710.5055759013
Canada,GDP per capita (current US$),2009,40876.3101540295
Canada,GDP per capita (current US$),2010,47562.0834253057
Canada,GDP per capita (current US$),2011,52223.696112356
Canada,GDP per capita (current US$),2012,52669.0899632316
Canada,GDP per capita (current US$),2013,52635.1749580433
Canada,GDP per capita (current US$),2014,50955.9983232404
Canada,GDP per capita (current US$),2015,43596.1355365546
Canada,GDP per capita (current US$),2016,42315.6037056806
Canada,GDP per capita (current US$),2017,45129.4292980922
Canada,GDP per capita (current US$),2018,46548.6384108296
Canada,GDP per capita (current US$),2019,46328.6718408497
Canada,GDP per capita (current US$),2020,43258.2638715601
Canada,GDP per capita (current US$),2021,51987.9390529728
United Kingdom,GDP per capita (current US$),1980,10032.062080015
United Kingdom,GDP per capita (current US$),1981,9599.30622221965
United Kingdom,GDP per capita (current US$),1982,9146.07735701852
United Kingdom,GDP per capita (current US$),1983,8691.51881306514
United Kingdom,GDP per capita (current US$),1984,8179.19444064991
United Kingdom,GDP per capita (current US$),1985,8652.21654247593
United Kingdom,GDP per capita (current US$),1986,10611.112210096
United Kingdom,GDP per capita (current US$),1987,13118.586534629
United Kingdom,GDP per capita (current US$),1988,15987.1680775688
United Kingdom,GDP per capita (current US$),1989,16239.2821960944
United Kingdom,GDP per capita (current US$),1990,19095.4669984608
United Kingdom,GDP per capita (current US$),1991,19900.7266505069
United Kingdom,GDP per capita (current US$),1992,20487.1707852878
United Kingdom,GDP per capita (current US$),1993,18389.0195675099
United Kingdom,GDP per capita (current US$),1994,19709.2380983653
United Kingdom,GDP per capita (current US$),1995,23202.4615775949
United Kingdom,GDP per capita (current US$),1996,24440.3281377791
United Kingdom,GDP per capita (current US$),1997,26781.362168176
United Kingdom,GDP per capita (current US$),1998,28297.8659970584
United Kingdom,GDP per capita (current US$),1999,28786.9592756835
United Kingdom,GDP per capita (current US$),2000,28290.9725024578
United Kingdom,GDP per capita (current US$),2001,27886.7985907797
United Kingdom,GDP per capita (current US$),2002,30079.6600435049
United Kingdom,GDP per capita (current US$),2003,34479.3929332278
United Kingdom,GDP per capita (current US$),2004,40390.7858294925
United Kingdom,GDP per capita (current US$),2005,42131.6993992712
United Kingdom,GDP per capita (current US$),2006,44536.6197203512
United Kingdom,GDP per capita (current US$),2007,50435.37028921
United Kingdom,GDP per capita (current US$),2008,47429.9363403009
United Kingdom,GDP per capita (current US$),2009,38821.1795827116
United Kingdom,GDP per capita (current US$),2010,39693.1938701237
United Kingdom,GDP per capita (current US$),2011,42150.6981408821
United Kingdom,GDP per capita (current US$),2012,42485.5860695397
United Kingdom,GDP per capita (current US$),2013,43449.0917173139
United Kingdom,GDP per capita (current US$),2014,47447.5889322667
United Kingdom,GDP per capita (current US$),2015,45071.0743234873
United Kingdom,GDP per capita (current US$),2016,41146.0773555246
United Kingdom,GDP per capita (current US$),2017,40621.334478632
United Kingdom,GDP per capita (current US$),2018,43306.3083049317
United Kingdom,GDP per capita (current US$),2019,42747.080460496
United Kingdom,GDP per capita (current US$),2020,40318.5575660493
