Year,Australia,Canada,United Kingdom,India,Ireland,Jamaica,Malaysia,Nigeria,Qatar,South Africa
1980,10208.57617,11170.56397,10032.06208,267.3905787,6372.437775,1254.671851,1852.949179,880.0619837,28218.03789,3034.66139
1981,11853.43602,12337.46625,9599.306222,271.4250853,5986.154109,1374.957556,1843.36937,2187.886436,29371.46691,3080.833219
1982,12778.85525,12481.87479,9146.077357,275.2654283,6160.638293,1497.328744,1925.461244,1844.849844,24301.05184,2769.096638
1983,11515.73843,13425.12249,8691.518813,292.6448175,5915.241772,1620.979621,2123.212862,1223.603921,19571.8082,3019.098685
1984,12421.4926,13877.91708,8179.194441,278.0961873,5692.027386,1048.351309,2311.211795,903.4493516,19252.17256,2590.014602
1985,11440.96857,14114.80776,8652.216542,297.9996627,6011.735546,916.3157331,2065.123266,882.2827027,16818.35103,1909.739723
1986,11391.43671,14461.06924,10611.11221,312.0598439,8112.171363,1189.429885,1782.571252,638.7316957,13216.45799,2103.192019
1987,11650.84187,16308.96697,13118.58653,342.0719237,9581.913086,1406.953274,2007.203191,598.2909687,13705.4656,2672.6891
1988,14284.51581,18936.9641,15987.16808,355.7375989,10715.87028,1625.74427,2134.505289,549.5037556,14650.74424,2780.586818
1989,17834.56887,20715.63148,16239.2822,347.4623845,11175.8166,1856.001946,2282.50536,474.4569001,15197.8751,2794.395679
1990,18249.70948,21448.36196,19095.467,368.7497594,14031.30257,1919.802037,2513.218167,567.5179022,16664.83143,3160.878365
1991,18860.58159,21768.34329,19900.72665,303.850438,14087.20744,1702.498179,2727.528585,502.8228697,15079.35946,3304.84633
1992,18624.55508,20879.84833,20487.17079,317.5591355,15714.38475,1452.188387,3193.635381,477.0807565,16223.78008,3519.018571
1993,17700.11556,20121.16125,18389.01957,301.5011949,14657.06155,2212.251978,3511.525808,270.0275238,14724.25918,3461.3784
1994,18129.79072,19935.38146,19709.2381,346.2273931,15902.92968,2194.91341,3802.107621,320.8257868,14728.78202,3547.94975
1995,20446.71985,20613.78788,23202.46158,373.6282803,19158.45648,2621.183238,4405.116764,407.2782992,15797.69104,3904.308092
1996,22020.09372,21227.34753,24440.32814,399.5775035,20835.89771,2919.144486,4874.819725,460.3241902,17116.83256,3654.969254
1997,23645.08833,21901.56285,26781.36217,414.8988696,22551.11391,3287.743691,4706.314913,478.5769399,20519.40935,3731.400789
1998,21478.38516,21024.58507,28297.866,412.509511,24294.85477,3410.42776,3308.835653,467.9390142,17651.54558,3336.429991
1999,20698.7127,22315.24667,28786.95928,440.9614546,26338.10775,3423.010104,3538.362993,496.030187,20207.22559,3267.93061
2000,21853.78167,24271.00206,28290.9725,442.0347789,26334.56721,3447.303896,4087.562593,565.3043172,27494.77133,3241.674475
2001,19681.66264,23822.06012,27886.79859,449.9111249,28282.40988,3502.209311,3941.122666,577.0569695,25836.27079,2867.466168
2002,20291.17855,24255.33858,30079.66004,468.8444283,32705.43456,3683.896533,4177.104942,733.5381615,27151.0325,2708.43541
2003,23705.90722,28300.4631,34479.39293,543.8437989,41203.52958,3557.198989,4454.526764,786.8024093,31440.22071,4095.71023
2004,30819.99349,32143.68141,40390.78583,624.1050944,47754.20232,3819.284231,4924.338111,992.7452801,40792.27647,5268.272867
2005,34461.70878,36382.50792,42131.6994,710.5093449,50933.02161,4200.389966,5536.825787,1250.406675,52468.44565,5893.213024
2006,36570.72037,40504.06073,44536.61972,802.013742,54329.16186,4435.56861,6137.112059,1652.15369,59978.86121,6139.626045
2007,41023.75486,44659.89514,50435.37029,1022.731629,61396.41746,4738.447175,7143.935816,1876.412777,64706.9899,6662.02969
2008,49679.18053,46710.50558,47429.93634,993.5037725,61353.10656,5056.258245,8343.385919,2227.789952,79811.59774,6251.894833
2009,42810.33166,40876.31015,38821.17958,1096.63498,52133.09062,4452.121812,7167.883295,1883.887348,60733.9817,6444.167068
2010,52134.30885,47562.08343,39693.19387,1350.634322,48663.60044,4835.793638,8880.109965,2280.111979,73021.30975,8059.587017
2011,62596.43217,52223.69611,42150.69814,1449.601789,52183.13293,5259.929487,10209.38195,2504.878279,92992.99713,8737.079774
2012,68044.71482,52669.08996,42485.58607,1434.018198,49054.69743,5365.242293,10601.51389,2728.022683,98041.36224,8173.869138
2013,68158.57974,52635.17496,43449.09172,1438.05748,51546.35476,5143.721312,10727.69966,2976.756736,97630.82552,7441.230854
2014,62513.41122,50955.99832,47447.58893,1559.864518,55643.05943,4991.565519,11045.44513,3200.953146,93126.14946,6965.137897
2015,56710.44572,43596.13554,45071.07432,1590.173918,62053.98444,5077.550622,9699.584021,2679.554765,66984.9102,6204.929901
2016,49875.56514,42315.60371,41146.07736,1714.280355,62895.91112,5022.704717,9555.651202,2144.779938,58467.23557,5735.066787
2017,53936.14025,45129.4293,40621.33448,1957.968841,69970.94891,5273.150744,9979.800841,1941.879485,59407.69805,6734.475153
2018,57207.87151,46548.63841,43306.3083,1974.377788,79250.38785,5594.493935,11074.06409,2125.834282,66264.08117,7048.522211
2019,54941.43418,46328.67184,42747.08046,2047.232704,80927.07467,5626.171177,11132.02393,2204.181574,62637.27511,6688.787271
2020,51720.37076,43258.26387,40318.55757,1910.421473,85420.19086,4897.265897,10160.78325,2074.613928,52315.66008,5741.643129
2021,60443.10916,51987.93905,46510.28278,2256.590409,100172.0793,5183.581305,11109.26184,2065.749068,66838.35743,7055.044776
