,country.value,date,value
0,United Kingdom,2021,
1,United Kingdom,2020,80.9024390243903
2,United Kingdom,2019,81.2048780487805
3,United Kingdom,2018,81.2560975609756
4,United Kingdom,2017,81.2560975609756
5,United Kingdom,2016,81.1560975609756
6,United Kingdom,2015,80.9560975609756
7,United Kingdom,2014,81.3048780487805
8,United Kingdom,2013,81.0048780487805
9,United Kingdom,2012,80.9048780487805
10,United Kingdom,2011,80.9512195121951
11,United Kingdom,2010,80.4024390243902
12,United Kingdom,2009,80.0512195121951
13,United Kingdom,2008,79.6
14,United Kingdom,2007,79.4487804878049
15,United Kingdom,2006,79.2487804878049
16,United Kingdom,2005,79.0487804878049
17,United Kingdom,2004,78.7463414634146
18,United Kingdom,2003,78.4463414634146
19,United Kingdom,2002,78.1439024390244
20,United Kingdom,2001,77.9926829268293
21,United Kingdom,2000,77.7414634146342
22,United Kingdom,1999,77.390243902439
23,United Kingdom,1998,77.190243902439
24,United Kingdom,1997,77.2109756097561
25,United Kingdom,1996,77.0878048780488
26,United Kingdom,1995,76.8365853658537
27,United Kingdom,1994,76.8853658536585
28,United Kingdom,1993,76.3853658536585
29,United Kingdom,1992,76.4341463414634
30,United Kingdom,1991,76.0829268292683
31,United Kingdom,1990,75.8804878048781
32,United Kingdom,1989,75.5829268292683
33,United Kingdom,1988,75.3804878048781
34,United Kingdom,1987,75.280487804878
35,United Kingdom,1986,74.9292682926829
36,United Kingdom,1985,74.6292682926829
37,United Kingdom,1984,74.7780487804878
38,United Kingdom,1983,74.3780487804878
39,United Kingdom,1982,74.1780487804878
40,United Kingdom,1981,74.0268292682927
41,United Kingdom,1980,73.6756097560976
42,United Kingdom,1979,73.2756097560976
43,United Kingdom,1978,73.1756097560976
44,United Kingdom,1977,73.2243902439024
45,United Kingdom,1976,72.7756097560976
46,United Kingdom,1975,72.7243902439024
47,United Kingdom,1974,72.5243902439024
48,United Kingdom,1973,72.3243902439024
49,United Kingdom,1972,72.1243902439024
50,India,2021,
51,India,2020,70.15
52,India,2019,70.91
53,India,2018,70.71
54,India,2017,70.467
55,India,2016,70.117
56,India,2015,69.636
57,India,2014,69.074
58,India,2013,68.46
59,India,2012,67.887
60,India,2011,67.359
61,India,2010,66.909
62,India,2009,66.513
63,India,2008,66.149
64,India,2007,65.788
65,India,2006,65.412
66,India,2005,64.996
67,India,2004,64.524
68,India,2003,64.094
69,India,2002,63.616
70,India,2001,63.091
71,India,2000,62.669
72,India,1999,62.207
73,India,1998,61.792
74,India,1997,61.388
75,India,1996,60.984
76,India,1995,60.596
77,India,1994,60.216
78,India,1993,59.815
79,India,1992,59.452
80,India,1991,59.055
81,India,1990,58.652
82,India,1989,58.233
83,India,1988,57.777
84,India,1987,57.315
85,India,1986,56.835
86,India,1985,56.334
87,India,1984,55.816
88,India,1983,55.281
89,India,1982,54.732
90,India,1981,54.175
91,India,1980,53.611
92,India,1979,53.06
93,India,1978,52.492
94,India,1977,51.909
95,India,1976,51.388
96,India,1975,50.812
97,India,1974,50.244
98,India,1973,49.539
99,India,1972,49.025
100,South Africa,2021,
101,South Africa,2020,65.252
102,South Africa,2019,66.175
103,South Africa,2018,65.674
104,South Africa,2017,65.402
105,South Africa,2016,64.747
106,South Africa,2015,63.95
107,South Africa,2014,63.38
108,South Africa,2013,62.533
109,South Africa,2012,61.846
110,South Africa,2011,60.651
111,South Africa,2010,58.899
112,South Africa,2009,57.447
113,South Africa,2008,56.022
114,South Africa,2007,54.992
115,South Africa,2006,54.278
116,South Africa,2005,53.98
117,South Africa,2004,54.043
118,South Africa,2003,54.331
119,South Africa,2002,55.666
120,South Africa,2001,57.261
121,South Africa,2000,58.47
122,South Africa,1999,59.241
123,South Africa,1998,60.001
124,South Africa,1997,60.805
125,South Africa,1996,61.459
126,South Africa,1995,62.262
127,South Africa,1994,62.612
128,South Africa,1993,63.045
129,South Africa,1992,63.341
130,South Africa,1991,63.265
131,South Africa,1990,63.375
132,South Africa,1989,63.31
133,South Africa,1988,63.345
134,South Africa,1987,63.041
135,South Africa,1986,62.912
136,South Africa,1985,62.38
137,South Africa,1984,61.907
138,South Africa,1983,61.465
139,South Africa,1982,60.933
140,South Africa,1981,60.364
141,South Africa,1980,59.813
142,South Africa,1979,59.395
143,South Africa,1978,58.979
144,South Africa,1977,58.492
145,South Africa,1976,58.006
146,South Africa,1975,57.512
147,South Africa,1974,57.117
148,South Africa,1973,56.722
149,South Africa,1972,56.272
150,Canada,2021,
151,Canada,2020,81.7487804878049
152,Canada,2019,82.0487804878049
153,Canada,2018,82.0487804878049
154,Canada,2017,81.9
155,Canada,2016,81.9
156,Canada,2015,81.9
157,Canada,2014,81.8
158,Canada,2013,81.7487804878049
159,Canada,2012,81.6487804878049
160,Canada,2011,81.4487804878049
161,Canada,2010,81.2463414634146
162,Canada,2009,80.9951219512195
163,Canada,2008,80.6951219512195
164,Canada,2007,80.5439024390244
165,Canada,2006,80.3439024390244
166,Canada,2005,80.1926829268293
167,Canada,2004,79.8926829268293
168,Canada,2003,79.7414634146342
169,Canada,2002,79.490243902439
170,Canada,2001,79.3390243902439
171,Canada,2000,79.1365853658537
172,Canada,1999,78.8853658536585
173,Canada,1998,78.6341463414634
174,Canada,1997,78.4317073170732
175,Canada,1996,78.1804878048781
176,Canada,1995,78.0292682926829
177,Canada,1994,77.8268292682927
178,Canada,1993,77.8243902439025
179,Canada,1992,77.7243902439024
180,Canada,1991,77.6219512195122
181,Canada,1990,77.4219512195122
182,Canada,1989,77.119512195122
183,Canada,1988,76.919512195122
184,Canada,1987,76.719512195122
185,Canada,1986,76.519512195122
186,Canada,1985,76.3682926829268
187,Canada,1984,76.2170731707317
188,Canada,1983,76.0658536585366
189,Canada,1982,75.7634146341463
190,Canada,1981,75.4634146341463
191,Canada,1980,75.0780487804878
192,Canada,1979,74.8663414634146
193,Canada,1978,74.529756097561
194,Canada,1977,74.2156097560976
195,Canada,1976,73.8560975609756
196,Canada,1975,73.5217073170732
197,Canada,1974,73.2375609756098
198,Canada,1973,73.1626829268293
199,Canada,1972,72.9339024390244
200,Australia,2021,
201,Australia,2020,83.2
202,Australia,2019,82.9
203,Australia,2018,82.7487804878049
204,Australia,2017,82.5
205,Australia,2016,82.4487804878049
206,Australia,2015,82.4
207,Australia,2014,82.3
208,Australia,2013,82.1487804878049
209,Australia,2012,82.0463414634146
210,Australia,2011,81.8951219512195
211,Australia,2010,81.6951219512195
212,Australia,2009,81.5439024390244
213,Australia,2008,81.3951219512195
214,Australia,2007,81.2926829268293
215,Australia,2006,81.0414634146342
216,Australia,2005,80.8414634146341
217,Australia,2004,80.490243902439
218,Australia,2003,80.2390243902439
219,Australia,2002,79.9365853658537
220,Australia,2001,79.6341463414634
221,Australia,2000,79.2341463414634
222,Australia,1999,78.9317073170732
223,Australia,1998,78.6317073170732
224,Australia,1997,78.4804878048781
225,Australia,1996,78.0780487804878
226,Australia,1995,77.8292682926829
227,Australia,1994,77.8780487804878
228,Australia,1993,77.8780487804878
229,Australia,1992,77.3780487804878
230,Australia,1991,77.2756097560976
231,Australia,1990,76.9946341463415
232,Australia,1989,76.7136585365854
233,Australia,1988,76.4326829268293
234,Australia,1987,76.1517073170732
235,Australia,1986,75.8707317073171
236,Australia,1985,75.6292682926829
237,Australia,1984,75.3878048780488
238,Australia,1983,75.1463414634146
239,Australia,1982,74.9048780487805
240,Australia,1981,74.6634146341463
241,Australia,1980,74.3336585365854
242,Australia,1979,74.0039024390244
243,Australia,1978,73.6741463414634
244,Australia,1977,73.3443902439024
245,Australia,1976,73.0146341463415
246,Australia,1975,72.6253658536586
247,Australia,1974,72.2360975609756
248,Australia,1973,71.8468292682927
249,Australia,1972,71.4575609756098
250,Malaysia,2021,
251,Malaysia,2020,75.938
252,Malaysia,2019,75.76
253,Malaysia,2018,75.644
254,Malaysia,2017,75.476
255,Malaysia,2016,75.289
256,Malaysia,2015,75.094
257,Malaysia,2014,75.146
258,Malaysia,2013,75.035
259,Malaysia,2012,74.944
260,Malaysia,2011,74.746
261,Malaysia,2010,74.442
262,Malaysia,2009,74.227
263,Malaysia,2008,74.25
264,Malaysia,2007,74.211
265,Malaysia,2006,74.164
266,Malaysia,2005,74.096
267,Malaysia,2004,73.898
268,Malaysia,2003,73.796
269,Malaysia,2002,73.563
270,Malaysia,2001,73.344
271,Malaysia,2000,72.775
272,Malaysia,1999,72.283
273,Malaysia,1998,72.168
274,Malaysia,1997,72.284
275,Malaysia,1996,72.327
276,Malaysia,1995,72.384
277,Malaysia,1994,72.163
278,Malaysia,1993,71.826
279,Malaysia,1992,71.526
280,Malaysia,1991,71.442
281,Malaysia,1990,71.307
282,Malaysia,1989,71.117
283,Malaysia,1988,70.896
284,Malaysia,1987,70.666
285,Malaysia,1986,70.458
286,Malaysia,1985,70.318
287,Malaysia,1984,69.937
288,Malaysia,1983,69.567
289,Malaysia,1982,69.24
290,Malaysia,1981,68.852
291,Malaysia,1980,68.245
292,Malaysia,1979,67.762
293,Malaysia,1978,67.285
294,Malaysia,1977,66.811
295,Malaysia,1976,66.277
296,Malaysia,1975,65.712
297,Malaysia,1974,65.209
298,Malaysia,1973,64.62
299,Malaysia,1972,64.083
300,Qatar,2021,
301,Qatar,2020,79.099
302,Qatar,2019,80.99
303,Qatar,2018,80.898
304,Qatar,2017,80.717
305,Qatar,2016,80.433
306,Qatar,2015,80.064
307,Qatar,2014,79.768
308,Qatar,2013,79.536
309,Qatar,2012,79.227
310,Qatar,2011,78.891
311,Qatar,2010,78.425
312,Qatar,2009,77.878
313,Qatar,2008,77.427
314,Qatar,2007,77.016
315,Qatar,2006,76.57
316,Qatar,2005,76.064
317,Qatar,2004,75.961
318,Qatar,2003,75.565
319,Qatar,2002,75.412
320,Qatar,2001,75.263
321,Qatar,2000,74.828
322,Qatar,1999,74.8
323,Qatar,1998,74.809
324,Qatar,1997,74.787
325,Qatar,1996,74.685
326,Qatar,1995,74.25
327,Qatar,1994,74.348
328,Qatar,1993,74.243
329,Qatar,1992,74.122
330,Qatar,1991,73.966
331,Qatar,1990,73.982
332,Qatar,1989,73.594
333,Qatar,1988,73.164
334,Qatar,1987,73.019
335,Qatar,1986,72.587
336,Qatar,1985,72.381
337,Qatar,1984,72.186
338,Qatar,1983,71.709
339,Qatar,1982,71.504
340,Qatar,1981,71.304
341,Qatar,1980,70.801
342,Qatar,1979,70.581
343,Qatar,1978,70.19
344,Qatar,1977,69.837
345,Qatar,1976,69.385
346,Qatar,1975,69.008
347,Qatar,1974,68.552
348,Qatar,1973,68.049
349,Qatar,1972,67.612
350,Nigeria,2021,
351,Nigeria,2020,52.887
352,Nigeria,2019,52.91
353,Nigeria,2018,52.554
354,Nigeria,2017,52.305
355,Nigeria,2016,52.043
356,Nigeria,2015,51.841
357,Nigeria,2014,51.791
358,Nigeria,2013,51.707
359,Nigeria,2012,51.497
360,Nigeria,2011,51.357
361,Nigeria,2010,50.945
362,Nigeria,2009,50.712
363,Nigeria,2008,50.225
364,Nigeria,2007,50.033
365,Nigeria,2006,49.73
366,Nigeria,2005,49.297
367,Nigeria,2004,48.767
368,Nigeria,2003,48.441
369,Nigeria,2002,47.928
370,Nigeria,2001,47.619
371,Nigeria,2000,47.193
372,Nigeria,1999,46.614
373,Nigeria,1998,46.036
