,country.value,date,value,country.value_right,date_right,value_right
2,United Kingdom,2019,81.20487805,United Kingdom,2019,10.15402699
3,United Kingdom,2018,81.25609756,United Kingdom,2018,9.90384102
4,United Kingdom,2017,81.25609756,United Kingdom,2017,9.80787468
5,United Kingdom,2016,81.15609756,United Kingdom,2016,9.87313271
6,United Kingdom,2015,80.95609756,United Kingdom,2015,9.90072441
7,United Kingdom,2014,81.30487805,United Kingdom,2014,9.95041275
8,United Kingdom,2013,81.00487805,United Kingdom,2013,9.97566223
9,United Kingdom,2012,80.90487805,United Kingdom,2012,9.91419888
10,United Kingdom,2011,80.95121951,United Kingdom,2011,9.84848499
11,United Kingdom,2010,80.40243902,United Kingdom,2010,9.83532333
12,United Kingdom,2009,80.05121951,United Kingdom,2009,9.8809166
13,United Kingdom,2008,79.6,United Kingdom,2008,9.06439972
14,United Kingdom,2007,79.44878049,United Kingdom,2007,8.7854166
15,United Kingdom,2006,79.24878049,United Kingdom,2006,8.60818768
16,United Kingdom,2005,79.04878049,United Kingdom,2005,8.44144344
17,United Kingdom,2004,78.74634146,United Kingdom,2004,8.39001179
18,United Kingdom,2003,78.44634146,United Kingdom,2003,8.11239147
19,United Kingdom,2002,78.14390244,United Kingdom,2002,7.94137812
20,United Kingdom,2001,77.99268293,United Kingdom,2001,7.56716347
21,United Kingdom,2000,77.74146341,United Kingdom,2000,7.19528341
52,India,2019,70.91,India,2019,3.0141468
53,India,2018,70.71,India,2018,2.95175385
54,India,2017,70.467,India,2017,2.93597651
55,India,2016,70.117,India,2016,3.50430417
56,India,2015,69.636,India,2015,3.59565997
57,India,2014,69.074,India,2014,3.61956549
58,India,2013,68.46,India,2013,3.74944162
59,India,2012,67.887,India,2012,3.32935309
60,India,2011,67.359,India,2011,3.24634194
61,India,2010,66.909,India,2010,3.27211905
62,India,2009,66.513,India,2009,3.48537874
63,India,2008,66.149,India,2008,3.51468062
64,India,2007,65.788,India,2007,3.51754165
65,India,2006,65.412,India,2006,3.63477802
66,India,2005,64.996,India,2005,3.79116249
67,India,2004,64.524,India,2004,3.95739222
68,India,2003,64.094,India,2003,4.0084796
69,India,2002,63.616,India,2002,4.24016666
70,India,2001,63.091,India,2001,4.26278114
71,India,2000,62.669,India,2000,4.03493214
102,South Africa,2019,66.175,South Africa,2019,9.10935497
103,South Africa,2018,65.674,South Africa,2018,8.85829735
104,South Africa,2017,65.402,South Africa,2017,8.72262383
105,South Africa,2016,64.747,South Africa,2016,8.82142925
106,South Africa,2015,63.95,South Africa,2015,8.79018974
107,South Africa,2014,63.38,South Africa,2014,8.55091476
108,South Africa,2013,62.533,South Africa,2013,8.85552406
109,South Africa,2012,61.846,South Africa,2012,8.77310753
110,South Africa,2011,60.651,South Africa,2011,8.74146175
111,South Africa,2010,58.899,South Africa,2010,8.66596985
112,South Africa,2009,57.447,South Africa,2009,8.52350235
113,South Africa,2008,56.022,South Africa,2008,7.88024807
114,South Africa,2007,54.992,South Africa,2007,7.68138409
115,South Africa,2006,54.278,South Africa,2006,7.6922164
116,South Africa,2005,53.98,South Africa,2005,7.68997431
117,South Africa,2004,54.043,South Africa,2004,7.76453447
118,South Africa,2003,54.331,South Africa,2003,7.91530371
119,South Africa,2002,55.666,South Africa,2002,7.46446323
120,South Africa,2001,57.261,South Africa,2001,7.93901682
121,South Africa,2000,58.47,South Africa,2000,8.16472149
152,Canada,2019,82.04878049,Canada,2019,10.84447765
153,Canada,2018,82.04878049,Canada,2018,10.80637455
154,Canada,2017,81.9,Canada,2017,10.83538342
155,Canada,2016,81.9,Canada,2016,11.02296066
156,Canada,2015,81.9,Canada,2015,10.73320484
157,Canada,2014,81.8,Canada,2014,10.24852657
158,Canada,2013,81.74878049,Canada,2013,10.40513706
159,Canada,2012,81.64878049,Canada,2012,10.50637913
160,Canada,2011,81.44878049,Canada,2011,10.40052414
161,Canada,2010,81.24634146,Canada,2010,10.69585419
162,Canada,2009,80.99512195,Canada,2009,10.71716499
163,Canada,2008,80.69512195,Canada,2008,9.60709858
164,Canada,2007,80.54390244,Canada,2007,9.44500446
