Date,HINDUNILVRNS_z_norm,UL_z_norm,RYTO_z_norm,^NSEBANK_z_norm,HSBC_z_norm
20/12/2017,-1.847678683,-0.843768115,-0.898238354,-0.843356377,1.587219079
21/12/2017,-1.88107724,-0.898995139,-0.878363455,-0.849713689,1.636485582
22/12/2017,-1.862143588,-0.872406338,-0.895646499,-0.833692254,1.661786355
27/12/2017,-1.871669713,-0.843768115,-0.905582545,-0.85961553,1.637817437
28/12/2017,-1.866846729,-0.866266402,-0.889164656,-0.860644095,1.643144217
29/12/2017,-1.835448151,-0.860131095,-0.887003774,-0.852238286,1.659123283
02/01/2018,-1.90424431,-0.960364877,-0.874042093,-0.88643988,1.761648667
03/01/2018,-1.876608494,-0.974681211,-0.833428744,-0.889780224,1.72703065
04/01/2018,-1.872139125,-0.907178018,-0.790221937,-0.865301852,1.741676587
05/01/2018,-1.862025613,-0.819224107,-0.796701775,-0.841630925,1.729692447
08/01/2018,-1.834154468,-0.800812631,-0.81528215,-0.829009264,1.673770495
09/01/2018,-1.850853124,-0.915360896,-0.792382016,-0.824300378,1.72703065
10/01/2018,-1.840269267,-1.115818278,-0.785037023,-0.839004401,1.962708334
11/01/2018,-1.810046085,-1.130138315,-0.782012591,-0.83159296,2.013307329
12/01/2018,-1.820983245,-1.027863442,-0.778556383,-0.816608389,2.083877768
16/01/2018,-1.802166635,-0.923543775,-0.752199641,-0.778216508,2.093198836
17/01/2018,-1.82756839,-0.780358212,-0.730164262,-0.724806191,2.189067498
18/01/2018,-1.861084922,-0.75172184,-0.702943568,-0.682597864,2.15844122
19/01/2018,-1.848149028,-0.504214758,-0.667947309,-0.619345135,2.154448843
22/01/2018,-1.865436627,-0.514441505,-0.653687896,-0.596957756,2.169095418
23/01/2018,-1.834271509,-0.448987733,-0.683500845,-0.537563638,2.167762926
24/01/2018,-1.840033939,-0.385575053,-0.70267456,-0.536212029,2.186403152
25/01/2018,-1.823922669,-0.577852333,-0.724026797,-0.528205627,2.122490074
29/01/2018,-1.766180401,-0.735357934,-0.740585404,-0.519230423,2.071894265
30/01/2018,-1.759242264,-0.639220219,-0.727076085,-0.558225565,1.999991972
31/01/2018,-1.831919783,-0.628991621,-0.732741684,-0.539459078,1.961377117
01/02/2018,-1.827450726,-0.430577182,-0.761066472,-0.566444784,1.990672177
02/02/2018,-1.825216975,-0.571717026,-0.809871126,-0.697259389,1.878822538
05/02/2018,-1.863907305,-1.150595511,-0.914890372,-0.757163474,1.651133431
06/02/2018,-1.935409428,-1.042181628,-0.905738497,-0.806026593,1.753660727
07/02/2018,-1.96527993,-1.211957844,-0.917940463,-0.830046129,1.672437366
08/02/2018,-1.925530622,-1.389916938,-0.997683408,-0.787438395,1.553931641
09/02/2018,-1.917297869,-1.463555439,-1.00465636,-0.865123231,1.625833934
12/02/2018,-1.89048539,-1.263096206,-0.976766956,-0.824674552,1.624502079
14/02/2018,-1.878842556,-1.277414392,-0.942341987,-0.885929914,1.866838398
15/02/2018,-1.858263162,-1.088675003,-0.938420328,-0.871803919,1.940073182
16/02/2018,-1.872493051,-1.134058506,-0.943650143,-0.916077344,1.950725468
20/02/2018,-1.920238227,-1.373331798,-0.943213556,-0.965289072,1.709721004
21/02/2018,-1.923060921,-1.528037262,-0.85562649,-0.954698975,1.731023664
22/02/2018,-1.932822063,-1.435212502,-0.870442361,-0.951554184,1.718794819
23/02/2018,-1.940583537,-1.297012571,-0.853010581,-0.892516976,1.744613039
26/02/2018,-1.916710171,-1.08248971,-0.86042012,-0.827003265,1.735101433
27/02/2018,-1.886016643,-1.470280395,-0.839067883,-0.878730959,1.599214052
28/02/2018,-1.953284726,-1.536286788,-0.917068092,-0.925681705,1.527194505
01/03/2018,-1.937996171,-1.618796863,-0.939727281,-0.960503824,1.523118649
05/03/2018,-1.995620776,-1.381584101,-0.924911811,-0.974757642,1.483711053
06/03/2018,-2.011026683,-1.41871345,-0.931448979,-1.037695958,1.493223935
07/03/2018,-2.009498606,-1.299073101,-0.940163867,-1.09113184,1.474200084
08/03/2018,-2.011144659,-1.096929158,-0.898330161,-1.032732089,1.453815702
09/03/2018,-1.99326905,-1.032983295,-0.887871735,-1.063534241,1.51632428
12/03/2018,-1.938114147,-1.070113569,-0.885692813,-1.001020896,1.494581916
13/03/2018,-1.946698336,-1.24131716,-0.885692813,-0.988365038,1.447021333
14/03/2018,-1.955284082,-1.177373148,-0.897459394,-0.969156315,1.404897137
15/03/2018,-1.995151365,-1.404273076,-0.869135007,-0.979321772,1.475557428
16/03/2018,-1.997032434,-1.342391446,-0.86347021,-1.030709157,1.52176003
19/03/2018,-1.972924051,-1.30732633,-0.875671373,-1.072263094,1.500017029
20/03/2018,-1.963868583,-1.297012571,-0.850397478,-1.085335291,1.501376285
21/03/2018,-1.95834117,-1.365081346,-0.865649132,-1.070478213,1.487788185
22/03/2018,-1.967161622,-1.336203375,-0.936677591,-1.089873857,1.309775971
23/03/2018,-1.99115203,-1.334140068,-0.998991162,-1.169955467,1.210578948
26/03/2018,-1.937878819,-1.239253853,-0.970667176,-1.072390585,1.338312703
27/03/2018,-1.917886812,-1.249567612,-1.013370847,-1.040126597,1.252703781
28/03/2018,-1.916593129,-0.814333819,-1.02164995,-1.0691608,1.269010394
02/04/2018,-1.874373498,-0.894781512,-1.019906812,-1.05808597,1.216014698
03/04/2018,-1.881194593,-0.773078782,-1.043002988,-1.027131094,1.230961418
04/04/2018,-1.859909526,-0.546178854,-1.069584237,-1.091913721,1.251343888
05/04/2018,-1.80169629,-0.533806416,-1.036902407,-0.984769711,1.270369651
06/04/2018,-1.819100308,-0.548241236,-1.082220784,-0.965501558,1.192913716
09/04/2018,-1.779587263,-0.558555921,-1.049974337,-0.927993485,1.269010394
10/04/2018,-1.779822591,-0.622501784,-1.049538553,-0.905384988,1.341029304
11/04/2018,-1.738308633,-0.653442136,-1.093551181,-0.927237168,1.360054429
12/04/2018,-1.729841174,-0.684381563,-1.105751542,-0.910773829,1.455174321
13/04/2018,-1.735015905,-0.616311862,-1.136254852,-0.909838891,1.45925209
16/04/2018,-1.713965233,-0.610123792,-1.121874766,-0.88939775,1.406255119
17/04/2018,-1.652694597,-0.589497199,-1.129283503,-0.88708597,1.419845769
18/04/2018,-1.641052385,-0.595686195,-1.095293918,-0.926548581,1.383155412
19/04/2018,-1.63235022,-0.88859159,-1.11141674,-0.922494417,1.497299154
20/04/2018,-1.600362076,-1.012357628,-1.083092353,-0.95348349,1.525835249
23/04/2018,-1.635760301,-1.06186034,-1.052589044,-0.950627547,1.570679232
24/04/2018,-1.619531367,-0.89890535,-1.074148148,-0.9367821,1.574754451
25/04/2018,-1.620590656,-0.894781512,-1.071507382,-0.975488394,1.593778302
26/04/2018,-1.545207173,-0.79783199,-1.046430331,-0.942085615,1.572037851
27/04/2018,-1.585897482,-0.655503592,-1.003751917,-0.876861083,1.608726296
30/04/2018,-1.503693215,-0.634876999,-1.026190608,-0.853572631,1.612803427
02/05/2018,-1.590601245,-1.088675003,-1.023110049,-0.847333847,1.572037851
03/05/2018,-1.637053672,-1.018119892,-1.025309417,-0.841052897,1.555731875
04/05/2018,-1.608829535,-0.932790242,-1.017831324,-0.834227784,1.43886962
07/05/2018,-1.529566249,-0.941114748,-0.976912485,-0.799099553,1.413050763
08/05/2018,-1.53391702,-0.789182576,-0.971632958,-0.75856588,1.391307762
09/05/2018,-1.534035306,-0.620599543,-0.938635214,-0.747695236,1.514965661
10/05/2018,-1.556379039,-0.549838008,-0.924114811,-0.751681338,1.567960719
11/05/2018,-1.514983057,-0.541512577,-0.905636266,-0.70371896,1.601932564
14/05/2018,-1.516277362,-0.518618105,-0.878797235,-0.693179661,1.607367677
15/05/2018,-1.488170889,-0.645573984,-0.876597466,-0.693375214,1.603291183
16/05/2018,-1.350341684,-0.70593197,-0.864717428,-0.74298635,1.619598434
17/05/2018,-1.360455196,-0.676792961,-0.876156469,-0.761404559,1.596263581
18/05/2018,-1.27578185,-0.572730629,-0.89727618,-0.795096519,1.615479881
22/05/2018,-1.349871028,-0.491561843,-0.845358093,-0.811738479,1.71567229
23/05/2018,-1.364453909,-0.529024431,-0.873077915,-0.827504931,1.612733967
24/05/2018,-1.380917859,-0.566487019,-0.961074305,-0.771093915,1.553718162
25/05/2018,-1.346460947,-0.59770507,-0.984831976,-0.727449316,1.527639306
29/05/2018,-1.353635035,-0.699687434,-1.05962975,-0.730636604,1.393133486
30/05/2018,-1.322822598,-0.512373569,-1.063588693,-0.718227429,1.459013758
31/05/2018,-1.262493275,-0.674714843,-1.010351626,-0.611406796,1.423328345
01/06/2018,-1.315648822,-0.655983087,-1.00419131,-0.656181554,1.476856783
04/06/2018,-1.375979079,-0.601868712,-0.968993796,-0.730169135,1.51940475
05/06/2018,-1.376919458,-0.581055134,-0.952274826,-0.731282694,1.469994228
06/06/2018,-1.357279821,-0.693443823,-0.955793576,-0.711462078,1.556462164
07/06/2018,-1.282249953,-0.753799957,-0.948754875,-0.685929576,1.552344886
08/06/2018,-1.299773192,-0.637249479,-0.927195771,-0.697225524,1.56058008
