Country,EPI Score,Value
Afghanistan,43,105
Antigua and Barbuda,52,54
Australia,60,22
Bahamas,56,50
Bahrain,42,66
Bangladesh,23,84
Barbados,53,45
Belize,50,62
Botswana,54,56
Cyprus,58,56
Egypt,35,83
Fiji,31,68
Gambia,36,78
Ghana,27,63
Grenada,47,54
Guyana,38,64
India,18,75
Iraq,27,93
Israel,48,42
Jamaica,45,62
Jordan,43,76
Kenya,30,88
Kuwait,42,52
Lesotho,32,77
Malawi,40,83
Malaysia,35,56
Maldives,37,64
Malta,75,34
Mauritius,44,37
Myanmar,19,100
Namibia,50,62
Nepal,28,80
Nigeria,28,97
Oman,30,49
Pakistan,24,89
Papua New Guinea,24,79
Qatar,33,42
Seychelles,55,54
Sierra Leone,32,82
Singapore,50,25
Solomon Islands,35,80
South Africa,37,72
Sri Lanka,34,79
Sudan,27,107
Tanzania,34,78
Trinidad and Tobago,47,52
Uganda,35,92
United Kingdom,77,40
United States of America,51,46
Zambia,38,83
Zimbabwe,46,97
