,country.value,date,value,country,year,consumption
0,United Kingdom,2021,5.834515967,United Kingdom,2021,5.834515967
1,United Kingdom,2020,-13.48840813,United Kingdom,2020,-13.48840813
2,United Kingdom,2019,0.491682555,United Kingdom,2019,0.491682555
3,United Kingdom,2018,1.846551639,United Kingdom,2018,1.846551639
4,United Kingdom,2017,1.246963058,United Kingdom,2017,1.246963058
5,United Kingdom,2016,2.831918727,United Kingdom,2016,2.831918727
6,United Kingdom,2015,2.315988239,United Kingdom,2015,2.315988239
7,United Kingdom,2014,2.125441676,United Kingdom,2014,2.125441676
8,United Kingdom,2013,1.930090996,United Kingdom,2013,1.930090996
9,United Kingdom,2012,1.007460948,United Kingdom,2012,1.007460948
10,United Kingdom,2011,-1.117701961,United Kingdom,2011,-1.117701961
11,United Kingdom,2010,1.189308282,United Kingdom,2010,1.189308282
12,United Kingdom,2009,-3.698477915,United Kingdom,2009,-3.698477915
13,United Kingdom,2008,-1.429700989,United Kingdom,2008,-1.429700989
14,United Kingdom,2007,2.3261729,United Kingdom,2007,2.3261729
15,United Kingdom,2006,-0.053351841,United Kingdom,2006,-0.053351841
16,United Kingdom,2005,2.053301431,United Kingdom,2005,2.053301431
17,United Kingdom,2004,2.306924218,United Kingdom,2004,2.306924218
18,United Kingdom,2003,2.98019125,United Kingdom,2003,2.98019125
19,United Kingdom,2002,2.449241325,United Kingdom,2002,2.449241325
20,United Kingdom,2001,2.986817719,United Kingdom,2001,2.986817719
21,United Kingdom,2000,4.256801999,United Kingdom,2000,4.256801999
22,United Kingdom,1999,3.960493081,United Kingdom,1999,3.960493081
23,United Kingdom,1998,3.762546458,United Kingdom,1998,3.762546458
24,United Kingdom,1997,4.977879551,United Kingdom,1997,4.977879551
25,United Kingdom,1996,2.656869581,United Kingdom,1996,2.656869581
26,United Kingdom,1995,1.893977333,United Kingdom,1995,1.893977333
27,United Kingdom,1994,3.256000836,United Kingdom,1994,3.256000836
28,United Kingdom,1993,4.085966944,United Kingdom,1993,4.085966944
29,United Kingdom,1992,1.302048171,United Kingdom,1992,1.302048171
30,United Kingdom,1991,-2.365593463,United Kingdom,1991,-2.365593463
31,United Kingdom,1990,0.673578885,United Kingdom,1990,0.673578885
32,United Kingdom,1989,3.221133712,United Kingdom,1989,3.221133712
33,United Kingdom,1988,7.51802868,United Kingdom,1988,7.51802868
34,United Kingdom,1987,5.27956158,United Kingdom,1987,5.27956158
35,United Kingdom,1986,6.217291166,United Kingdom,1986,6.217291166
36,United Kingdom,1985,3.649841463,United Kingdom,1985,3.649841463
37,United Kingdom,1984,2.153262117,United Kingdom,1984,2.153262117
38,United Kingdom,1983,4.160883861,United Kingdom,1983,4.160883861
39,United Kingdom,1982,1.128265904,United Kingdom,1982,1.128265904
50,India,2021,7.053253064,India,2021,7.053253064
51,India,2020,-6.898288275,India,2020,-6.898288275
52,India,2019,4.139963128,India,2019,4.139963128
53,India,2018,5.931228052,India,2018,5.931228052
54,India,2017,5.018153058,India,2017,5.018153058
55,India,2016,6.856295222,India,2016,6.856295222
56,India,2015,6.653729574,India,2015,6.653729574
57,India,2014,5.082337014,India,2014,5.082337014
58,India,2013,5.919860378,India,2013,5.919860378
59,India,2012,4.075100196,India,2012,4.075100196
60,India,2011,5.969253469,India,2011,5.969253469
61,India,2010,5.260312815,India,2010,5.260312815
62,India,2009,3.550125854,India,2009,3.550125854
63,India,2008,2.976994622,India,2008,2.976994622
64,India,2007,5.719895808,India,2007,5.719895808
65,India,2006,3.348360416,India,2006,3.348360416
66,India,2005,5.745719017,India,2005,5.745719017
67,India,2004,3.426444868,India,2004,3.426444868
68,India,2003,4.114539127,India,2003,4.114539127
69,India,2002,1.058850811,India,2002,1.058850811
70,India,2001,4.054017874,India,2001,4.054017874
71,India,2000,1.5717987,India,2000,1.5717987
72,India,1999,4.135621101,India,1999,4.135621101
73,India,1998,4.509771564,India,1998,4.509771564
74,India,1997,1.031862181,India,1997,1.031862181
75,India,1996,5.690915629,India,1996,5.690915629
76,India,1995,3.99566117,India,1995,3.99566117
77,India,1994,2.762313032,India,1994,2.762313032
78,India,1993,2.231801201,India,1993,2.231801201
79,India,1992,0.472878836,India,1992,0.472878836
80,India,1991,0.032433693,India,1991,0.032433693
81,India,1990,2.253489716,India,1990,2.253489716
82,India,1989,2.710035508,India,1989,2.710035508
83,India,1988,3.946317087,India,1988,3.946317087
84,India,1987,1.165735833,India,1987,1.165735833
85,India,1986,0.875428787,India,1986,0.875428787
86,India,1985,1.857493558,India,1985,1.857493558
87,India,1984,0.580523986,India,1984,0.580523986
88,India,1983,5.354889059,India,1983,5.354889059
89,India,1982,-1.257669485,India,1982,-1.257669485
100,South Africa,2021,4.537758953,South Africa,2021,4.537758953
101,South Africa,2020,-7.012385051,South Africa,2020,-7.012385051
102,South Africa,2019,-0.13533491,South Africa,2019,-0.13533491
103,South Africa,2018,1.497998489,South Africa,2018,1.497998489
104,South Africa,2017,1.321059137,South Africa,2017,1.321059137
105,South Africa,2016,-0.291335773,South Africa,2016,-0.291335773
106,South Africa,2015,0.060709355,South Africa,2015,0.060709355
107,South Africa,2014,-0.855072954,South Africa,2014,-0.855072954
108,South Africa,2013,0.177730421,South Africa,2013,0.177730421
109,South Africa,2012,1.863172367,South Africa,2012,1.863172367
110,South Africa,2011,2.747250446,South Africa,2011,2.747250446
111,South Africa,2010,4.432792333,South Africa,2010,4.432792333
112,South Africa,2009,-3.742532742,South Africa,2009,-3.742532742
113,South Africa,2008,0.070705325,South Africa,2008,0.070705325
114,South Africa,2007,5.443455149,South Africa,2007,5.443455149
115,South Africa,2006,7.733129521,South Africa,2006,7.733129521
116,South Africa,2005,5.135093372,South Africa,2005,5.135093372
117,South Africa,2004,5.251467544,South Africa,2004,5.251467544
118,South Africa,2003,1.885516065,South Africa,2003,1.885516065
119,South Africa,2002,2.237881054,South Africa,2002,2.237881054
120,South Africa,2001,2.580591099,South Africa,2001,2.580591099
121,South Africa,2000,3.140308954,South Africa,2000,3.140308954
122,South Africa,1999,0.613115101,South Africa,1999,0.613115101
123,South Africa,1998,0.484112615,South Africa,1998,0.484112615
124,South Africa,1997,1.835904139,South Africa,1997,1.835904139
125,South Africa,1996,2.89161347,South Africa,1996,2.89161347
126,South Africa,1995,4.197290878,South Africa,1995,4.197290878
127,South Africa,1994,2.222351222,South Africa,1994,2.222351222
128,South Africa,1993,0.058580018,South Africa,1993,0.058580018
129,South Africa,1992,-3.429249782,South Africa,1992,-3.429249782
130,South Africa,1991,-3.029969989,South Africa,1991,-3.029969989
131,South Africa,1990,-0.245138081,South Africa,1990,-0.245138081
132,South Africa,1989,-0.646969585,South Africa,1989,-0.646969585
133,South Africa,1988,1.722034615,South Africa,1988,1.722034615
134,South Africa,1987,0.285619818,South Africa,1987,0.285619818
135,South Africa,1986,-3.071588581,South Africa,1986,-3.071588581
136,South Africa,1985,-6.273299452,South Africa,1985,-6.273299452
137,South Africa,1984,1.71272341,South Africa,1984,1.71272341
138,South Africa,1983,0.281412688,South Africa,1983,0.281412688
139,South Africa,1982,-0.501750227,South Africa,1982,-0.501750227
150,Canada,2021,4.307819655,Canada,2021,4.307819655
151,Canada,2020,-7.330367835,Canada,2020,-7.330367835
152,Canada,2019,0.206448159,Canada,2019,0.206448159
153,Canada,2018,1.095869049,Canada,2018,1.095869049
154,Canada,2017,2.443624316,Canada,2017,2.443624316
155,Canada,2016,0.954445134,Canada,2016,0.954445134
156,Canada,2015,1.56022266,Canada,2015,1.56022266
157,Canada,2014,1.552078698,Canada,2014,1.552078698
158,Canada,2013,1.549073612,Canada,2013,1.549073612
159,Canada,2012,0.795536157,Canada,2012,0.795536157
160,Canada,2011,1.281690097,Canada,2011,1.281690097
161,Canada,2010,2.44040764,Canada,2010,2.44040764
162,Canada,2009,-1.05133677,Canada,2009,-1.05133677
163,Canada,2008,1.881878845,Canada,2008,1.881878845
164,Canada,2007,3.403755961,Canada,2007,3.403755961
165,Canada,2006,3.150368268,Canada,2006,3.150368268
166,Canada,2005,2.950518669,Canada,2005,2.950518669
167,Canada,2004,2.10394773,Canada,2004,2.10394773
168,Canada,2003,1.822159808,Canada,2003,1.822159808
169,Canada,2002,2.873607884,Canada,2002,2.873607884
170,Canada,2001,1.298371736,Canada,2001,1.298371736
171,Canada,2000,3.099363476,Canada,2000,3.099363476
172,Canada,1999,3.094295707,Canada,1999,3.094295707
173,Canada,1998,1.888074275,Canada,1998,1.888074275
174,Canada,1997,3.851764473,Canada,1997,3.851764473
175,Canada,1996,1.898469572,Canada,1996,1.898469572
176,Canada,1995,1.191745718,Canada,1995,1.191745718
177,Canada,1994,1.770122549,Canada,1994,1.770122549
178,Canada,1993,0.744795652,Canada,1993,0.744795652
179,Canada,1992,0.347953965,Canada,1992,0.347953965
180,Canada,1991,-2.335288048,Canada,1991,-2.335288048
