,country.value,date,value
0,United Kingdom,2021,
1,United Kingdom,2020,5.53000020980835
2,United Kingdom,2019,5.20774984359741
3,United Kingdom,2018,5.16799020767212
4,United Kingdom,2017,5.38499021530151
5,United Kingdom,2016,5.37532997131348
6,United Kingdom,2015,5.51411008834839
7,United Kingdom,2014,5.56450986862183
8,United Kingdom,2013,5.50078010559082
9,United Kingdom,2012,5.6596040725708
10,United Kingdom,2011,5.55959987640381
11,United Kingdom,2010,5.66824007034302
12,United Kingdom,2009,5.04631996154785
13,United Kingdom,2008,4.88497018814087
14,United Kingdom,2007,4.90883016586304
15,United Kingdom,2006,4.97325992584229
16,United Kingdom,2005,4.92918014526367
17,United Kingdom,2004,4.72940015792847
18,United Kingdom,2003,4.80573987960815
19,United Kingdom,2002,4.6285400390625
20,United Kingdom,2001,4.10855007171631
21,United Kingdom,2000,4.0231499671936
22,United Kingdom,1999,3.98918008804321
23,United Kingdom,1998,4.21070003509521
24,United Kingdom,1997,
25,United Kingdom,1996,4.37116003036499
26,United Kingdom,1995,4.83926010131836
27,United Kingdom,1994,4.850830078125
28,United Kingdom,1993,
29,United Kingdom,1992,4.3344898223877
30,United Kingdom,1991,4.1224799156189
31,United Kingdom,1990,4.05552005767822
32,United Kingdom,1989,4.12511014938354
33,United Kingdom,1988,4.26831007003784
34,United Kingdom,1987,4.37180995941162
35,United Kingdom,1986,4.38083982467651
36,United Kingdom,1985,4.5940899848938
37,United Kingdom,1984,4.89905977249146
38,United Kingdom,1983,5.06150007247925
39,United Kingdom,1982,5.1887001991272
40,United Kingdom,1981,5.2884202003479
41,United Kingdom,1980,5.07011985778809
42,United Kingdom,1979,
43,United Kingdom,1978,
44,United Kingdom,1977,6.06335020065308
45,United Kingdom,1976,6.42422008514404
46,United Kingdom,1975,6.26878023147583
47,United Kingdom,1974,5.39099979400635
48,United Kingdom,1973,5.44860982894897
49,United Kingdom,1972,5.15937995910645
50,India,2021,
51,India,2020,4.47422981262207
52,India,2019,4.40722990036011
53,India,2018,4.36373996734619
54,India,2017,4.30544996261597
55,India,2016,4.25407981872559
56,India,2015,4.11457014083862
57,India,2014,
58,India,2013,3.84467005729675
59,India,2012,3.8675000667572
60,India,2011,3.79618000984192
61,India,2010,3.377690076828
62,India,2009,3.27824997901917
63,India,2008,
64,India,2007,
65,India,2006,3.14284992218018
66,India,2005,3.18875002861023
67,India,2004,3.35254001617432
68,India,2003,3.61340999603271
69,India,2002,
70,India,2001,
71,India,2000,4.32479000091553
72,India,1999,4.41539001464844
73,India,1998,3.57256007194519
74,India,1997,3.3613600730896
75,India,1996,
76,India,1995,
77,India,1994,
78,India,1993,
79,India,1992,
80,India,1991,
81,India,1990,
82,India,1989,
83,India,1988,
84,India,1987,
85,India,1986,
86,India,1985,
87,India,1984,
88,India,1983,
89,India,1982,
90,India,1981,
91,India,1980,
92,India,1979,
93,India,1978,
94,India,1977,
95,India,1976,
96,India,1975,
97,India,1974,
98,India,1973,
99,India,1972,
100,South Africa,2021,6.60466003417969
101,South Africa,2020,6.19288015365601
102,South Africa,2019,5.9177098274231
103,South Africa,2018,5.64401006698608
104,South Africa,2017,5.59867000579834
105,South Africa,2016,5.4442400932312
106,South Africa,2015,5.48285007476807
107,South Africa,2014,5.48977994918823
108,South Africa,2013,5.35071992874146
109,South Africa,2012,5.52323007583618
110,South Africa,2011,5.28898000717163
111,South Africa,2010,5.13497018814087
112,South Africa,2009,4.76118993759155
113,South Africa,2008,4.37424993515015
114,South Africa,2007,4.4466700553894
115,South Africa,2006,4.52651977539063
116,South Africa,2005,4.52449989318848
117,South Africa,2004,4.50897979736328
118,South Africa,2003,4.35209989547729
119,South Africa,2002,4.54569005966187
120,South Africa,2001,4.63617992401123
121,South Africa,2000,4.90881013870239
122,South Africa,1999,5.29117012023926
123,South Africa,1998,
124,South Africa,1997,
125,South Africa,1996,5.04734992980957
126,South Africa,1995,
127,South Africa,1994,5.29777002334595
128,South Africa,1993,5.88602018356323
129,South Africa,1992,
130,South Africa,1991,5.73734998703003
131,South Africa,1990,5.12579011917114
132,South Africa,1989,4.85255002975464
133,South Africa,1988,5.29058980941772
134,South Africa,1987,5.16433000564575
135,South Africa,1986,
136,South Africa,1985,
137,South Africa,1984,
138,South Africa,1983,
139,South Africa,1982,
140,South Africa,1981,
141,South Africa,1980,
142,South Africa,1979,
143,South Africa,1978,
144,South Africa,1977,
145,South Africa,1976,
146,South Africa,1975,
147,South Africa,1974,
148,South Africa,1973,
149,South Africa,1972,
150,Canada,2021,
151,Canada,2020,5.17000007629395
152,Canada,2019,4.77293014526367
153,Canada,2018,4.8889799118042
154,Canada,2017,4.95996999740601
155,Canada,2016,4.81642007827759
156,Canada,2015,4.7393798828125
157,Canada,2014,4.84358978271484
158,Canada,2013,4.5890097618103
159,Canada,2012,4.69258737564087
160,Canada,2011,5.26205015182495
161,Canada,2010,5.356369972229
162,Canada,2009,4.84057998657227
163,Canada,2008,4.62612009048462
164,Canada,2007,4.7664098739624
165,Canada,2006,
166,Canada,2005,4.76588010787964
167,Canada,2004,
168,Canada,2003,
169,Canada,2002,4.99308013916016
170,Canada,2001,4.95303010940552
171,Canada,2000,5.42331981658936
172,Canada,1999,5.53079986572266
173,Canada,1998,5.49377012252808
174,Canada,1997,
175,Canada,1996,
176,Canada,1995,6.32445001602173
177,Canada,1994,6.68001985549927
178,Canada,1993,7.70425987243652
179,Canada,1992,6.77093982696533
180,Canada,1991,6.88430023193359
181,Canada,1990,5.9919900894165
182,Canada,1989,6.09832000732422
183,Canada,1988,6.17614984512329
184,Canada,1987,6.32446002960205
185,Canada,1986,6.04418992996216
186,Canada,1985,6.2128701210022
187,Canada,1984,6.64404010772705
188,Canada,1983,6.88043022155762
189,Canada,1982,6.51913976669312
190,Canada,1981,6.43061017990112
191,Canada,1980,6.48467016220093
192,Canada,1979,6.71474981307983
193,Canada,1978,7.09767007827759
194,Canada,1977,6.73353004455566
195,Canada,1976,6.72099018096924
196,Canada,1975,6.4429497718811
197,Canada,1974,6.68963003158569
198,Canada,1973,7.03749990463257
199,Canada,1972,7.61540985107422
200,Australia,2021,
201,Australia,2020,6.09999990463257
202,Australia,2019,5.13531017303467
203,Australia,2018,5.12344980239868
204,Australia,2017,5.13680982589722
205,Australia,2016,5.28623008728027
206,Australia,2015,5.31583976745605
207,Australia,2014,5.1646900177002
208,Australia,2013,5.22923994064331
209,Australia,2012,4.86787986755371
210,Australia,2011,5.06995010375977
211,Australia,2010,5.54303979873657
212,Australia,2009,5.08451986312866
213,Australia,2008,4.63278007507324
214,Australia,2007,4.65621995925903
215,Australia,2006,4.74065017700195
216,Australia,2005,4.89851999282837
217,Australia,2004,
218,Australia,2003,
219,Australia,2002,
220,Australia,2001,
221,Australia,2000,4.88731002807617
222,Australia,1999,
223,Australia,1998,
224,Australia,1997,
225,Australia,1996,5.23099994659424
226,Australia,1995,5.13413000106812
227,Australia,1994,5.24494981765747
228,Australia,1993,5.50633001327515
229,Australia,1992,4.68387985229492
230,Australia,1991,4.7863302230835
231,Australia,1990,4.66854000091553
232,Australia,1989,4.74096012115479
233,Australia,1988,4.90948009490967
234,Australia,1987,5.06071996688843
235,Australia,1986,5.27070999145508
236,Australia,1985,5.39561986923218
237,Australia,1984,
238,Australia,1983,5.36276006698608
239,Australia,1982,5.4701099395752
240,Australia,1981,
241,Australia,1980,5.64446020126343
242,Australia,1979,5.88711023330688
243,Australia,1978,5.99878978729248
244,Australia,1977,
245,Australia,1976,
246,Australia,1975,
247,Australia,1974,
248,Australia,1973,
249,Australia,1972,
250,Malaysia,2021,
251,Malaysia,2020,3.91697001457214
252,Malaysia,2019,4.15661001205444
253,Malaysia,2018,4.47865009307861
254,Malaysia,2017,4.6753101348877
255,Malaysia,2016,4.75192022323608
256,Malaysia,2015,4.89486980438232
257,Malaysia,2014,5.21263980865479
258,Malaysia,2013,5.48120021820068
259,Malaysia,2012,5.73902988433838
260,Malaysia,2011,5.76293992996216
261,Malaysia,2010,4.96645021438599
262,Malaysia,2009,5.97418022155762
263,Malaysia,2008,3.95851993560791
264,Malaysia,2007,4.37253999710083
265,Malaysia,2006,4.48576021194458
266,Malaysia,2005,
267,Malaysia,2004,5.92389011383057
268,Malaysia,2003,7.50288009643555
269,Malaysia,2002,7.65792989730835
270,Malaysia,2001,7.48446989059448
271,Malaysia,2000,5.9716100692749
272,Malaysia,1999,5.68678998947144
273,Malaysia,1998,
274,Malaysia,1997,4.62037992477417
275,Malaysia,1996,4.91384983062744
276,Malaysia,1995,4.3425498008728
277,Malaysia,1994,4.70528984069824
278,Malaysia,1993,4.65463018417358
279,Malaysia,1992,5.11143016815186
280,Malaysia,1991,
281,Malaysia,1990,
282,Malaysia,1989,
283,Malaysia,1988,
284,Malaysia,1987,6.32600021362305
285,Malaysia,1986,7.24336004257202
286,Malaysia,1985,6.1111102104187
287,Malaysia,1984,5.66629981994629
288,Malaysia,1983,
289,Malaysia,1982,7.03278017044067
290,Malaysia,1981,6.69696998596191
291,Malaysia,1980,5.72619009017944
292,Malaysia,1979,5.08760976791382
293,Malaysia,1978,
294,Malaysia,1977,
295,Malaysia,1976,
296,Malaysia,1975,
297,Malaysia,1974,
298,Malaysia,1973,
299,Malaysia,1972,
300,Qatar,2021,
301,Qatar,2020,3.2336699962616
302,Qatar,2019,2.80378007888794
303,Qatar,2018,
304,Qatar,2017,2.96745991706848
305,Qatar,2016,
306,Qatar,2015,
307,Qatar,2014,3.60535001754761
308,Qatar,2013,4.07384014129639
309,Qatar,2012,3.50744009017944
310,Qatar,2011,4.01223993301392
311,Qatar,2010,4.53965997695923
312,Qatar,2009,3.41315007209778
313,Qatar,2008,4.22755002975464
314,Qatar,2007,
315,Qatar,2006,
316,Qatar,2005,3.97187995910645
317,Qatar,2004,3.46258997917175
318,Qatar,2003,3.37393999099731
319,Qatar,2002,3.84656000137329
320,Qatar,2001,3.20019006729126
321,Qatar,2000,3.72598004341125
322,Qatar,1999,4.34530019760132
323,Qatar,1998,3.57767009735107
324,Qatar,1997,
325,Qatar,1996,
326,Qatar,1995,
327,Qatar,1994,
328,Qatar,1993,
329,Qatar,1992,
330,Qatar,1991,
331,Qatar,1990,
332,Qatar,1989,
333,Qatar,1988,
334,Qatar,1987,
335,Qatar,1986,
336,Qatar,1985,
337,Qatar,1984,
338,Qatar,1983,
339,Qatar,1982,
340,Qatar,1981,
341,Qatar,1980,
342,Qatar,1979,
343,Qatar,1978,2.77696990966797
344,Qatar,1977,1.97005999088287
345,Qatar,1976,1.74697005748749
346,Qatar,1975,
347,Qatar,1974,
348,Qatar,1973,2.86783003807068
349,Qatar,1972,2.69144010543823
350,Nigeria,2021,
351,Nigeria,2020,
352,Nigeria,2019,
353,Nigeria,2018,
354,Nigeria,2017,
355,Nigeria,2016,
356,Nigeria,2015,
357,Nigeria,2014,
358,Nigeria,2013,0.525614321231842
359,Nigeria,2012,0.545457303524017
360,Nigeria,2011,0.582609355449677
361,Nigeria,2010,0.466383695602417
362,Nigeria,2009,
363,Nigeria,2008,
364,Nigeria,2007,
365,Nigeria,2006,
366,Nigeria,2005,
367,Nigeria,2004,
368,Nigeria,2003,
369,Nigeria,2002,
370,Nigeria,2001,
