,country.value,date,value
0,United Kingdom,2021,34637447.0
1,United Kingdom,2020,34633193.0
2,United Kingdom,2019,34701423.0
3,United Kingdom,2018,34415435.0
4,United Kingdom,2017,34128763.0
5,United Kingdom,2016,33945098.0
6,United Kingdom,2015,33619460.0
7,United Kingdom,2014,33336695.0
8,United Kingdom,2013,33061439.0
9,United Kingdom,2012,32778349.0
10,United Kingdom,2011,32478069.0
11,United Kingdom,2010,32236186.0
12,United Kingdom,2009,32084960.0
13,United Kingdom,2008,31927771.0
14,United Kingdom,2007,31527354.0
15,United Kingdom,2006,31317979.0
16,United Kingdom,2005,30813208.0
17,United Kingdom,2004,30341589.0
18,United Kingdom,2003,30099958.0
19,United Kingdom,2002,29839232.0
20,United Kingdom,2001,29521902.0
21,United Kingdom,2000,29511805.0
22,United Kingdom,1999,29238963.0
23,United Kingdom,1998,29150168.0
24,United Kingdom,1997,29090800.0
25,United Kingdom,1996,28921108.0
26,United Kingdom,1995,28779118.0
27,United Kingdom,1994,28769064.0
28,United Kingdom,1993,28773930.0
29,United Kingdom,1992,28985510.0
30,United Kingdom,1991,29083861.0
31,United Kingdom,1990,29216922.0
32,United Kingdom,1989,
33,United Kingdom,1988,
34,United Kingdom,1987,
35,United Kingdom,1986,
36,United Kingdom,1985,
37,United Kingdom,1984,
38,United Kingdom,1983,
39,United Kingdom,1982,
40,United Kingdom,1981,
41,United Kingdom,1980,
42,United Kingdom,1979,
43,United Kingdom,1978,
44,United Kingdom,1977,
45,United Kingdom,1976,
46,United Kingdom,1975,
47,United Kingdom,1974,
48,United Kingdom,1973,
49,United Kingdom,1972,
50,India,2021,476670190.0
51,India,2020,463517213.0
52,India,2019,488759055.0
53,India,2018,478922986.0
54,India,2017,476375095.0
55,India,2016,473321642.0
56,India,2015,470101297.0
57,India,2014,466876048.0
58,India,2013,463479881.0
59,India,2012,459896475.0
60,India,2011,459271453.0
61,India,2010,458370817.0
62,India,2009,456466561.0
63,India,2008,454417652.0
64,India,2007,452058848.0
65,India,2006,449357551.0
66,India,2005,446362766.0
67,India,2004,435711012.0
68,India,2003,425040267.0
69,India,2002,414481817.0
70,India,2001,403997453.0
71,India,2000,393669902.0
72,India,1999,385348240.0
73,India,1998,377123178.0
74,India,1997,369033540.0
75,India,1996,361065402.0
76,India,1995,353270636.0
77,India,1994,345651944.0
78,India,1993,337517175.0
79,India,1992,329687119.0
80,India,1991,322061598.0
81,India,1990,314602862.0
82,India,1989,
83,India,1988,
84,India,1987,
85,India,1986,
86,India,1985,
87,India,1984,
88,India,1983,
89,India,1982,
90,India,1981,
91,India,1980,
92,India,1979,
93,India,1978,
94,India,1977,
95,India,1976,
96,India,1975,
97,India,1974,
98,India,1973,
99,India,1972,
100,South Africa,2021,22397601.0
101,South Africa,2020,21181686.0
102,South Africa,2019,22876128.0
103,South Africa,2018,22556993.0
104,South Africa,2017,22392953.0
105,South Africa,2016,22112476.0
106,South Africa,2015,21878157.0
107,South Africa,2014,20891740.0
108,South Africa,2013,20468028.0
109,South Africa,2012,19973138.0
110,South Africa,2011,19556367.0
111,South Africa,2010,19289765.0
112,South Africa,2009,19599116.0
113,South Africa,2008,19944181.0
114,South Africa,2007,19643837.0
115,South Africa,2006,19340541.0
116,South Africa,2005,19033160.0
117,South Africa,2004,18713156.0
118,South Africa,2003,18367603.0
119,South Africa,2002,18003069.0
120,South Africa,2001,17630133.0
121,South Africa,2000,17261317.0
122,South Africa,1999,16911327.0
123,South Africa,1998,16559813.0
124,South Africa,1997,16204177.0
125,South Africa,1996,15873953.0
126,South Africa,1995,15581237.0
127,South Africa,1994,15314596.0
128,South Africa,1993,15082598.0
129,South Africa,1992,14888800.0
130,South Africa,1991,14692723.0
131,South Africa,1990,14417438.0
132,South Africa,1989,
133,South Africa,1988,
134,South Africa,1987,
135,South Africa,1986,
136,South Africa,1985,
137,South Africa,1984,
138,South Africa,1983,
139,South Africa,1982,
140,South Africa,1981,
141,South Africa,1980,
142,South Africa,1979,
143,South Africa,1978,
144,South Africa,1977,
145,South Africa,1976,
146,South Africa,1975,
147,South Africa,1974,
148,South Africa,1973,
149,South Africa,1972,
150,Canada,2021,21017306.0
151,Canada,2020,20487246.0
152,Canada,2019,20758436.0
153,Canada,2018,20344109.0
154,Canada,2017,20144986.0
155,Canada,2016,19877599.0
156,Canada,2015,19690128.0
157,Canada,2014,19586757.0
158,Canada,2013,19522292.0
159,Canada,2012,19316264.0
160,Canada,2011,19146806.0
161,Canada,2010,18985431.0
162,Canada,2009,18787384.0
163,Canada,2008,18662574.0
164,Canada,2007,18382598.0
165,Canada,2006,18035497.0
166,Canada,2005,17819057.0
167,Canada,2004,17673741.0
168,Canada,2003,17463546.0
169,Canada,2002,17068694.0
170,Canada,2001,16585665.0
171,Canada,2000,16308540.0
172,Canada,1999,16041716.0
173,Canada,1998,15760787.0
174,Canada,1997,15520772.0
175,Canada,1996,15278818.0
176,Canada,1995,15119721.0
177,Canada,1994,15013490.0
178,Canada,1993,14871262.0
179,Canada,1992,14782202.0
180,Canada,1991,14803644.0
