country.value,date,ee,lf,ur,Country
United Kingdom,2020,5.53,34633193,4.47,United Kingdom
United Kingdom,2019,5.21,34701423,3.74,United Kingdom
United Kingdom,2018,5.17,34415435,4,United Kingdom
United Kingdom,2017,5.38,34128763,4.33,United Kingdom
United Kingdom,2016,5.38,33945098,4.81,United Kingdom
United Kingdom,2015,5.51,33619460,5.3,United Kingdom
United Kingdom,2014,5.56,33336695,6.11,United Kingdom
United Kingdom,2013,5.5,33061439,7.52,United Kingdom
United Kingdom,2012,5.66,32778349,7.88,United Kingdom
United Kingdom,2011,5.56,32478069,8.04,United Kingdom
United Kingdom,2010,5.67,32236186,7.79,United Kingdom
India,2020,4.47,463517213,8,India
India,2019,4.41,488759055,5.27,India
India,2018,4.36,478922986,5.33,India
India,2017,4.31,476375095,5.36,India
India,2016,4.25,473321642,5.42,India
India,2015,4.11,470101297,5.43,India
India,2013,3.84,463479881,5.42,India
India,2012,3.87,459896475,5.41,India
India,2011,3.8,459271453,5.43,India
India,2010,3.38,458370817,5.55,India
South Africa,2020,6.19,21181686,29.22,South Africa
South Africa,2019,5.92,22876128,28.47,South Africa
South Africa,2018,5.64,22556993,26.91,South Africa
South Africa,2017,5.6,22392953,27.04,South Africa
South Africa,2016,5.44,22112476,26.54,South Africa
South Africa,2015,5.48,21878157,25.15,South Africa
South Africa,2014,5.49,20891740,24.89,South Africa
South Africa,2013,5.35,20468028,24.56,South Africa
South Africa,2012,5.52,19973138,24.73,South Africa
South Africa,2011,5.29,19556367,24.64,South Africa
South Africa,2010,5.13,19289765,24.68,South Africa
Canada,2020,5.17,20487246,9.46,Canada
Canada,2019,4.77,20758436,5.66,Canada
Canada,2018,4.89,20344109,5.83,Canada
Canada,2017,4.96,20144986,6.34,Canada
Canada,2016,4.82,19877599,7,Canada
Canada,2015,4.74,19690128,6.91,Canada
Canada,2014,4.84,19586757,6.91,Canada
Canada,2013,4.59,19522292,7.07,Canada
Canada,2012,4.69,19316264,7.29,Canada
Canada,2011,5.26,19146806,7.51,Canada
Canada,2010,5.36,18985431,8.06,Canada
Australia,2020,6.1,13590200,6.46,Australia
Australia,2019,5.14,13590353,5.16,Australia
Australia,2018,5.12,13308365,5.3,Australia
Australia,2017,5.14,13006679,5.59,Australia
Australia,2016,5.29,12728417,5.71,Australia
Australia,2015,5.32,12554514,6.05,Australia
Australia,2014,5.16,12316359,6.08,Australia
Australia,2013,5.23,12176891,5.66,Australia
Australia,2012,4.87,12006302,5.22,Australia
Australia,2011,5.07,11842238,5.08,Australia
Australia,2010,5.54,11661196,5.21,Australia
Malaysia,2020,3.92,16536931,4.5,Malaysia
Malaysia,2019,4.16,16326127,3.26,Malaysia
Malaysia,2018,4.48,15957341,3.3,Malaysia
Malaysia,2017,4.68,15580100,3.41,Malaysia
Malaysia,2016,4.75,15259318,3.44,Malaysia
Malaysia,2015,4.89,14984846,3.1,Malaysia
Malaysia,2014,5.21,14634933,2.88,Malaysia
Malaysia,2013,5.48,14264784,3.16,Malaysia
Malaysia,2012,5.74,13623989,3.1,Malaysia
Malaysia,2011,5.76,13066875,3.05,Malaysia
Malaysia,2010,4.97,12512860,3.39,Malaysia
Jamaica,2020,5.62,1374141,9.48,Jamaica
Jamaica,2019,5.16,1429844,7.69,Jamaica
Jamaica,2018,5.41,1406395,9.1,Jamaica
Jamaica,2017,5.26,1418463,11.63,Jamaica
Jamaica,2016,5.31,1400576,13.19,Jamaica
Jamaica,2015,5.46,1353993,13.51,Jamaica
Jamaica,2014,6.02,1333074,13.74,Jamaica
Jamaica,2013,6.25,1320357,15.25,Jamaica
Jamaica,2012,6.11,1278503,13.93,Jamaica
Jamaica,2011,6.27,1268643,12.7,Jamaica
Jamaica,2010,6.37,1251232,12.37,Jamaica
Ireland,2020,3.1,2432632,5.62,Ireland
Ireland,2019,3.29,2446760,4.95,Ireland
Ireland,2018,3.39,2398224,5.74,Ireland
Ireland,2017,3.51,2354153,6.71,Ireland
Ireland,2016,3.74,2330010,8.37,Ireland
Ireland,2015,3.76,2286203,9.91,Ireland
Ireland,2014,4.88,2258863,11.86,Ireland
Ireland,2013,5.34,2247873,13.73,Ireland
Ireland,2012,5.75,2225018,15.45,Ireland
Ireland,2011,5.83,2231455,15.35,Ireland
Ireland,2010,6.05,2252263,14.53,Ireland
Qatar,2020,3.23,2042416,0.21,Qatar
Qatar,2019,2.8,2117362,0.1,Qatar
Qatar,2017,2.97,2061199,0.14,Qatar
Qatar,2014,3.61,1664818,0.2,Qatar
Qatar,2013,4.07,1519189,0.28,Qatar
Qatar,2012,3.51,1421301,0.48,Qatar
Qatar,2011,4.01,1349090,0.56,Qatar
Qatar,2010,4.54,1287119,0.45,Qatar
